,ticker
0,BTC
1,ETH
2,BNB
4,SOL
5,ADA
6,XRP
7,USDC
8,DOT
9,DOGE
10,AVAX
11,SHIB
12,LUNA
13,CRO
14,WBTC
15,LTC
16,BUSD
17,UNI
18,MATIC
19,LINK
20,BCH
21,ALGO
22,MANA
23,EGLD
24,AXS
25,XLM
26,ICP
27,UST
28,VET
29,FIL
30,FTT
31,TRX
32,DAI
33,THETA
34,SAND
35,ETC
36,ATOM
37,HBAR
38,BTCB
39,FTM
40,NEAR
41,GRT
42,GALA
43,XMR
44,HNT
45,XTZ
46,LRC
47,FLOW
48,EOS
49,MIOTA
50,KLAY
51,CAKE
52,LEO
53,AAVE
54,ZEC
55,ENJ
56,MKR
57,KSM
58,BSV
59,ONE
60,XEC
61,RUNE
62,AMP
63,KDA
64,NEO
65,CHZ
66,STX
67,QNT
68,BAT
69,WAVES
70,HOT
71,BTT
72,CRV
73,KCS
74,AR
75,DASH
76,COMP
77,CELO
78,TFUEL
79,HT
80,XEM
81,IOTX
82,QTUM
83,MINA
84,DCR
86,NEXO
87,OKB
88,WAXP
89,TUSD
90,ANKR
91,ZEN
92,AUDIO
93,ROSE
94,ICX
95,LPT
96,VGX
97,OMG
98,RVN
99,BORA
100,XDC
101,YFI
102,SUSHI
103,REV
104,ZIL
105,ZRX
106,STORJ
107,BTG
108,USDP
109,CEL
110,SCRT
111,BNT
112,CKB
113,VLX
114,SKL
117,KAVA
118,DGB
119,XYO
120,WIN
121,GNO
123,RSR
124,LSK
125,SXP
127,OGN
128,XVG
129,NKN
130,WRX
131,OXT
132,BAKE
134,SNT
135,BCD
136,RLC
137,SOUL
138,EWT
139,UBT
140,MCO
